,Artist,Track Name,Track ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
17,Imagine Dragons,Believer,0pqnGHJpmpxLKifKRmU6WP,89,0.0622,0.776,204347,0.78,0.0,10,0.081,-4.374,0,0.128,124.949,4,0.666
18,Erik Eriksson,Clean White Noise - Loopable with no fade,2bRKxuH1o7pTmb1y4GfdEc,85,0.791,0.0,90228,0.00342,1.0,8,0.111,-28.46,1,0.0,0.0,0,0.0
19,Kane Brown,Heaven,1HXy5I3HTWq8OvxCn0z7G7,78,0.263,0.677,179507,0.556,0.0,9,0.105,-6.544,1,0.0306,80.009,4,0.521
20,Luke Combs,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,79,0.013,0.551,240760,0.801,6.03e-06,6,0.265,-5.069,1,0.0303,128.027,4,0.625
21,Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v,88,0.163,0.599,263400,0.448,0.0,8,0.106,-6.312,1,0.0232,95.05,3,0.168
22,"Tyler, The Creator",See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,80,0.371,0.558,180387,0.559,7.49e-06,6,0.109,-9.222,1,0.0959,78.558,4,0.62
23,Lee Brice,Rumor,56eGOeSsqdg3FLxdo83TwV,77,0.749,0.655,198440,0.56,0.0,9,0.115,-6.857,1,0.0486,140.975,4,0.599
24,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc,79,0.617,0.703,221747,0.757,0.0,1,0.106,-3.612,1,0.05,82.008,4,0.696
25,A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI,79,0.501,0.839,209269,0.81,0.0,5,0.117,-5.274,0,0.0568,129.014,4,0.814
26,Imagine Dragons,Thunder,1zB4vmk8tFRmM9UULNzbLB,87,0.00671,0.605,187147,0.822,0.134,0,0.147,-4.833,1,0.0438,167.997,4,0.288
27,Billie Eilish,ocean eyes,7hDVYcQq6MxkdJGweuCtl9,84,0.816,0.511,200379,0.363,0.0317,4,0.084,-7.65,0,0.041,144.892,4,0.169
28,Sam Hunt,Body Like A Back Road,7mldq42yDuxiUNn08nvzHO,79,0.447,0.732,165387,0.458,0.0,5,0.136,-7.225,1,0.0311,98.938,4,0.661
29,Rex Orange County,Sunflower,4EpZ4eYuZOwPSSwyqpdHnJ,81,0.646,0.384,252231,0.765,0.00352,6,0.522,-4.463,1,0.0579,129.903,4,0.567
30,Lil Skies,Lust,7oJrVhiTPZGBXWPwhxjy9S,80,0.138,0.718,156000,0.767,0.0,9,0.114,-5.641,1,0.166,160.084,4,0.519
31,Lauv,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,84,0.535,0.752,197437,0.505,2.55e-06,9,0.104,-7.621,1,0.253,91.97,4,0.419
32,Rex Orange County,Loving Is Easy,5EYi2rH4LYs6M21ZLOyQTx,81,0.217,0.756,155720,0.609,0.00474,3,0.096,-7.927,1,0.0544,117.023,4,0.537
33,Logic,1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,82,0.57,0.62,250173,0.574,0.0,5,0.19,-7.788,0,0.0479,100.021,4,0.352
34,Jack Stauber,Buttercup,2mlGPkAx4kwF8Df0GlScsC,84,0.723,0.705,208026,0.373,0.81,7,0.289,-9.066,1,0.0384,120.046,4,0.551
35,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,82,0.047,0.643,163870,0.783,0.0,10,0.083,-6.458,1,0.0856,154.084,4,0.579
36,blackbear,do re mi,3Q3myFA7q4Op95DOpHplaY,80,0.00522,0.745,212027,0.593,5.25e-06,8,0.123,-6.35,1,0.0526,111.002,3,0.17
37,Sam Smith,Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5,78,0.64,0.681,201000,0.372,0.0,5,0.169,-8.237,1,0.0432,91.873,4,0.476
38,Russ,Losin Control,4cxMGhkinTocPSVVKWIw0d,79,0.515,0.759,237507,0.245,0.000154,6,0.102,-6.545,1,0.138,96.992,4,0.209
39,21 Savage,Bank Account,2fQrGHiQOvpL9UgPvtYy6G,81,0.0151,0.884,220307,0.346,7.04e-06,8,0.0871,-8.228,0,0.351,75.016,4,0.376
40,Kendrick Lamar,DNA.,6HZILIRieu8S0iqY8kIKhj,80,0.00454,0.638,185947,0.523,0.0,1,0.0842,-6.664,1,0.357,139.913,4,0.422
41,Khalid,8TEEN,5bgwqaRSS3M8WHWruHgSL5,80,0.225,0.83,228600,0.585,0.00209,1,0.0576,-5.802,1,0.0366,105.03,4,0.642
42,Miguel,Sky Walker (feat. Travis Scott),5WoaF1B5XIEnWfmb5NZikf,79,0.173,0.674,259333,0.506,0.0,6,0.0866,-10.532,1,0.0434,145.965,4,0.183
43,NF,If You Want Love,3i5qVV8azKqGFK4Gzdt5YS,80,0.659,0.551,199387,0.386,0.0,0,0.125,-10.22,1,0.132,116.409,1,0.245
44,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,82,0.0337,0.663,174800,0.708,0.0,8,0.0841,-4.154,1,0.0473,103.073,4,0.742
45,YNW Melly,772 Love,230wNo1dnexltKYQbsW7oD,76,0.226,0.676,209489,0.623,1.66e-05,6,0.159,-7.297,0,0.0352,111.466,4,0.347
46,Peachy!,Falling for U,0sHFw13WH3LtSB3yP8UMYJ,79,0.741,0.516,124000,0.358,1.34e-06,8,0.0813,-12.018,0,0.424,79.509,4,0.397
47,NF,Lie,07FkzikE6FuHIa8Ma7zJGc,80,0.161,0.513,209213,0.661,0.0,5,0.246,-6.419,1,0.24,94.791,4,0.179
48,Aminé,Caroline,5hTpBe8h35rJ67eAWHQsJx,78,0.17,0.941,209640,0.335,0.0,5,0.262,-10.179,0,0.505,120.041,4,0.707
49,Daniel Caesar,Get You (feat. Kali Uchis),7zFXmv6vqI4qOt4yGf3jYZ,79,0.422,0.658,278180,0.294,5.2e-05,4,0.0749,-8.533,0,0.0321,74.038,4,0.358
50,SZA,Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs,78,0.111,0.795,275080,0.594,0.0,0,0.162,-6.2,1,0.0747,135.002,4,0.409
51,Khalid,Coaster,39KG4kom3enSx4GTThuDGt,78,0.935,0.441,199120,0.219,0.0,8,0.115,-14.586,1,0.0419,94.021,4,0.244
52,French Montana,Unforgettable,3B54sVLJ402zGa6Xm4YGNe,82,0.0293,0.726,233902,0.769,0.0101,6,0.104,-5.043,1,0.123,97.985,4,0.733
53,Daniel Caesar,Best Part (feat. H.E.R.),1RMJOxR6GRPsBHL8qeC2ux,81,0.808,0.524,209831,0.364,0.0,7,0.1,-10.209,1,0.0367,75.24,4,0.436
54,GoldLink,Crew (feat. Brent Faiyaz & Shy Glizzy),15EPc80XuFrb2LmOzGjuRg,78,0.133,0.728,176702,0.607,0.0,1,0.0864,-8.417,0,0.132,129.938,4,0.445
55,Luke Combs,One Number Away,4gB7HrYHbJVJ5RFOjxmoq4,76,0.00585,0.544,221800,0.781,0.0,6,0.191,-6.16,0,0.0311,144.075,4,0.527
56,Russell Dickerson,Every Little Thing,4EpLU30bi1KNWkBTfgZkoK,76,0.216,0.638,190640,0.854,0.0,1,0.0357,-4.664,1,0.11,93.869,4,0.859
57,Loud Luxury,Body,21RzyxY3EFaxVy6K4RqaU9,80,0.0476,0.752,163216,0.764,9.44e-05,1,0.0543,-4.399,1,0.038,121.958,4,0.582
58,Chase Rice,Eyes On You,5AnSllIrgGsCZzZJkVnApx,76,0.323,0.606,182493,0.652,0.0,9,0.201,-6.982,1,0.0281,97.155,4,0.476
59,Demi Lovato,Sorry Not Sorry,7gvd8xj4QgPqbQSsn5pV7d,81,0.0237,0.705,203760,0.64,0.0,11,0.262,-6.928,0,0.225,144.077,4,0.887
60,Halsey,Bad At Love,7y9iMe8SOB6z3NoHE2OfXl,78,0.0604,0.675,181279,0.751,0.0,0,0.0893,-3.539,1,0.0296,118.384,4,0.612
61,Marshmello,Silence,7vGuf3Y35N4wmASOKLUVVU,82,0.256,0.52,180823,0.761,4.96e-06,4,0.17,-3.093,1,0.0853,141.971,4,0.286
62,Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,81,0.256,0.809,298941,0.463,0.085,11,0.109,-11.377,1,0.0396,111.98,4,0.364
63,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,87,0.581,0.825,233713,0.652,0.0,1,0.0931,-3.183,0,0.0802,95.977,4,0.931
64,Lil Skies,Red Roses (feat. Landon Cube),3ZhTT6yjZwpPph5MIJ53XY,77,0.547,0.691,262544,0.683,0.0,0,0.221,-7.335,1,0.0954,140.002,4,0.456
65,Kodak Black,Roll In Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI,78,0.0306,0.747,213132,0.524,0.0,10,0.2,-6.807,0,0.245,140.053,4,0.363
66,Pentatonix,Hallelujah,0HZk0QsXPhMNAWNDR3rYE8,74,0.47,0.364,268960,0.378,0.0,7,0.339,-7.381,0,0.0331,89.918,3,0.366
67,Lil Skies,Nowadays (feat. Landon Cube),2u7mxWSeoqTXndK5e08jMp,78,0.157,0.745,203908,0.646,0.0,6,0.338,-6.987,0,0.17,79.993,4,0.46
68,Lil Peep,Save That Shit,0S0vWvyZ6Rc79TXkWxT9QA,81,0.0262,0.534,231547,0.583,0.0,2,0.421,-8.672,1,0.0288,105.997,4,0.145
69,Billie Eilish,bellyache,51NFxnQvaosfDDutk0tams,82,0.46,0.695,179172,0.573,0.0734,4,0.482,-8.597,0,0.106,99.939,4,0.408
70,SZA,The Weekend,6gU9OKjOE7ghfEd55oRO57,77,0.241,0.487,272187,0.366,0.0,8,0.126,-9.405,0,0.0531,68.191,5,0.161
71,A$AP Ferg,Plain Jane,4dVpf9jZjcORqGTLUaeYj9,79,0.0651,0.797,173600,0.844,0.0,11,0.087,-5.482,1,0.275,170.142,4,0.52
72,Dustin Lynch,Small Town Boy,2YMhrXQYKkm4kXLcXKKd5z,75,0.0251,0.554,205733,0.743,0.0,9,0.359,-6.016,1,0.0287,72.997,4,0.673
73,H.E.R.,Best Part (feat. Daniel Caesar),4OBZT9EnhYIV17t4pGw7ig,79,0.795,0.473,209400,0.371,0.0,4,0.109,-10.219,0,0.0405,75.208,4,0.413
74,Selena Gomez,Wolves,0tBbt8CrmxbjRP0pueQkyU,84,0.124,0.724,197993,0.804,0.0,11,0.204,-4.614,0,0.0448,124.987,4,0.306
75,Trippie Redd,Love Scars,0AICBlLzFCTpUqmAbtzB2z,76,0.000404,0.659,143969,0.614,0.0,9,0.123,-7.32,0,0.0541,119.405,4,0.26
76,Portugal. The Man,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,81,0.0417,0.801,163253,0.795,0.000113,1,0.0717,-5.115,0,0.0504,79.028,4,0.754
77,Playboi Carti,Magnolia,1e1JKLEDKP7hEQzJfNAgPl,77,0.0113,0.791,181812,0.581,0.0,11,0.35,-7.323,0,0.286,162.99,4,0.438
78,Billie Eilish,my boy,1RGasjWLZ4qMN7wbtkLa3u,80,0.472,0.692,170852,0.394,0.000191,11,0.117,-8.745,0,0.207,89.936,4,0.324
79,Cuco,Lo Que Siento,3oyf4dalm17kzTE8LJDbgR,77,0.503,0.326,312000,0.685,0.0,10,0.427,-5.576,1,0.179,86.882,5,0.409
80,Playboi Carti,wokeuplikethis*,59J5nzL1KniFHnU120dQzt,76,0.0138,0.785,235535,0.62,0.0,8,0.15,-6.668,1,0.254,78.476,4,0.478
81,Billie Eilish,COPYCAT,5w7wuzMzsDer96KqxafeRK,80,0.353,0.679,194711,0.388,9.25e-05,4,0.341,-10.977,0,0.0932,124.909,4,0.234
82,PnB Rock,Selfish,2xbI8Vmyv3TkpTdywpPyNw,75,0.114,0.638,245604,0.6,0.0,1,0.187,-5.84,0,0.0438,101.981,4,0.0399
83,Tee Grizzley,First Day Out,3muBQDekYAg7jm6hDu6R0Z,74,0.171,0.587,254694,0.711,0.0,1,0.125,-6.33,1,0.42,98.008,4,0.381
84,Big Sean,Bounce Back,0SGkqnVQo9KPytSri1H6cF,77,0.104,0.78,222360,0.574,0.0,1,0.129,-5.628,0,0.141,81.502,4,0.273
85,Shawn Mendes,Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd,84,0.106,0.444,187973,0.819,0.0,10,0.107,-4.078,0,0.341,82.695,4,0.747
86,Billie Eilish,hostage,1WsEgieHsWWndAzLkmV105,79,0.868,0.427,229426,0.123,3.12e-05,9,0.0732,-15.228,0,0.0497,129.565,5,0.0394
87,Ed Sheeran,Happier,2RttW7RAu5nOAfq6YFvApB,84,0.536,0.522,207520,0.385,0.0,0,0.135,-7.355,1,0.0288,89.792,4,0.236
88,Clairo,Pretty Girl,0KyAGiNGUytG5JLxJu4F6l,77,0.593,0.93,178352,0.611,0.00124,0,0.0592,-4.406,1,0.0415,112.127,4,0.695
89,Future,Mask Off,0VgkVdmE4gld66l8iyGjgx,81,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,0.281
90,Imagine Dragons,Whatever It Takes,6Qn5zhYkTa37e91HC1D7lb,83,0.0362,0.672,201240,0.655,0.0,10,0.117,-5.021,0,0.0311,134.945,4,0.556
91,Clairo,Flaming Hot Cheetos,1F6IbA7di42uPc3cff8PXV,77,0.865,0.817,123884,0.551,0.000151,7,0.101,-9.33,0,0.133,109.966,4,0.142
92,Absofacto,Dissolve,7pBrj5rt4SSxXwFKOyZfHR,78,0.23,0.688,224661,0.582,0.000157,6,0.0663,-10.668,0,0.0542,85.486,4,0.872
93,Jhené Aiko,Sativa,2pg2TiYo9Rb8KeB5JjP7jS,75,0.315,0.741,276960,0.61,0.0,6,0.534,-7.34,0,0.0512,125.99,4,0.72
94,Lil Baby,Freestyle,5BbdKBZO0TH0GhfxUfyhL9,75,0.217,0.877,162053,0.517,0.0,2,0.143,-5.426,0,0.0706,119.996,4,0.255
95,The Chainsmokers,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,84,0.0498,0.617,247160,0.635,1.44e-05,11,0.164,-6.769,0,0.0317,103.019,4,0.446
96,Old Dominion,Written in the Sand,2A69wys3S9uiPSmn6UZWJn,74,0.593,0.725,184080,0.437,0.0,6,0.0842,-9.602,1,0.0575,83.985,4,0.759
97,G-Eazy,No Limit,2DQ1ITjI0YoLFzuADN1ZBW,78,0.0117,0.838,245387,0.771,0.0,1,0.0853,-3.791,1,0.244,175.957,4,0.405
98,Shawn Mendes,There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml,84,0.38,0.866,199440,0.813,0.0,11,0.0779,-4.063,0,0.0554,121.998,4,0.969
99,Ella Mai,Boo'd Up,0At2qAoaVjIwWNAqrscXli,76,0.0862,0.561,256064,0.779,0.0,10,0.078,-5.107,0,0.0531,81.965,4,0.235
100,Still Woozy,Goodie Bag,4vHNeBWDQpVCmGbaccrRzi,76,0.821,0.739,146390,0.522,0.00124,7,0.233,-12.304,0,0.151,138.263,4,0.619
101,2 Chainz,It's A Vibe,6H0AwSQ20mo62jGlPGB8S6,76,0.0317,0.822,210200,0.505,0.000911,7,0.114,-7.384,1,0.147,73.003,4,0.523
102,BROCKHAMPTON,BLEACH,0dWOFwdXrbBUYqD9DLsoyK,76,0.462,0.595,273151,0.657,0.000597,1,0.437,-6.498,0,0.183,156.093,4,0.718
103,Dua Lipa,IDGAF,76cy1WJvNGJTj78UqeA5zr,84,0.0403,0.836,217947,0.544,0.0,7,0.0824,-5.975,1,0.0943,97.028,4,0.51
104,Migos,Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR,77,0.061,0.927,343150,0.665,0.0,11,0.123,-5.313,1,0.244,127.076,4,0.175
105,blackbear,i miss the old u,1nMYtxDrONcoGnKRvxTwPv,76,0.279,0.718,211128,0.805,0.0,7,0.527,-5.257,1,0.325,132.995,4,0.36
106,Khalid,Saved,248OFOZef6ShXv6DGgbnxU,77,0.189,0.739,206533,0.448,0.0,10,0.118,-10.28,0,0.138,81.044,4,0.553
107,Tyler Childers,Feathered Indians,2tgQaL85WoRfgEa4hFQgrE,72,0.75,0.536,224947,0.574,0.00277,7,0.105,-6.705,1,0.0254,87.194,4,0.877
108,Bryce Vine,Drew Barrymore,0OgGn1ofaj55l2PcihQQGV,74,0.46,0.758,191147,0.574,0.00272,11,0.102,-6.889,0,0.0572,151.985,4,0.261
109,Kodak Black,Tunnel Vision,4Q3N4Ct4zCuIHuZ65E3BD4,75,0.0576,0.497,268187,0.489,9.91e-05,11,0.122,-7.724,0,0.294,171.853,4,0.231
110,Gucci Mane,I Get The Bag (feat. Migos),1XRgIKC5TPwo7nWGyKqgG0,76,0.0232,0.89,233087,0.633,0.000343,11,0.0993,-5.475,1,0.168,139.948,4,0.425
111,Dua Lipa,New Rules,2ekn2ttSfGqwhhate0LSR0,83,0.00261,0.762,209320,0.7,1.56e-05,9,0.153,-6.021,0,0.0694,116.073,4,0.608
112,Hailee Steinfeld,Most Girls,10GJQkjRJcZhGTLagFOC62,78,0.0478,0.756,204400,0.572,0.0,9,0.0853,-7.019,1,0.0763,102.986,4,0.417
113,Chord Overstreet,Hold On,5vjLSffimiIP26QG5WcN2K,79,0.469,0.618,198853,0.443,0.0,2,0.0829,-9.681,1,0.0526,119.949,4,0.167
114,SZA,The Weekend - Funk Wav Remix,0P6AWOA4LG1XOctzaVu5tt,78,0.495,0.775,171806,0.573,0.0,11,0.126,-4.933,1,0.0585,101.925,4,0.667
115,Tay-K,The Race,3wGXyJGsCf1myH5MooQIqE,75,0.00266,0.766,140000,0.606,0.0,9,0.166,-6.064,1,0.456,160.223,4,0.352
116,Billie Eilish,watch,7eB1V5LvAdxCc7brfGhRRo,79,0.333,0.441,177523,0.599,0.00198,0,0.103,-8.985,1,0.225,165.212,4,0.35
117,Liam Payne,Strip That Down,4Ro98RCK90oHqqSZUnTFq5,79,0.22,0.874,204502,0.497,0.0,6,0.0761,-5.484,1,0.0562,106.023,4,0.542
118,Tee Grizzley,From The D To The A (feat. Lil Yachty),2NyrXRn4tancYPW6JwtTl2,73,0.195,0.851,158684,0.625,0.0,10,0.266,-5.417,0,0.303,99.061,4,0.668
119,Harry Styles,Sign of the Times,5Ohxk2dO5COHF1krpoPigN,80,0.0275,0.516,340707,0.595,0.0,5,0.109,-4.63,1,0.0313,119.972,4,0.222
120,Brett Young,In Case You Didn't Know,10M2Ex445zw585Ducldzkw,74,0.386,0.607,224853,0.536,0.0,10,0.102,-7.306,1,0.0305,147.986,4,0.434
121,Kesha,Praying,0jdny0dhgjUwoIp5GkqEaA,77,0.491,0.576,230267,0.39,0.0,10,0.111,-7.202,1,0.0297,73.433,4,0.319
122,AJR,Weak,5DZwnLxHjWTZaz9jOpRhxb,71,0.118,0.67,201159,0.643,0.0,5,0.192,-4.553,1,0.0465,123.979,4,0.703
123,Migos,Slippery (feat. Gucci Mane),6p8NuHm8uCGnn2Dtbtf7zE,76,0.307,0.92,304041,0.674,0.0,1,0.104,-5.662,0,0.264,141.967,4,0.741
124,XXXTENTACION,I Don't Wanna Do This Anymore,5de9Ho64dovuQI8Uhn5gPD,76,0.843,0.433,87561,0.778,0.0,4,0.139,-7.681,1,0.041,114.208,4,0.764
125,Foster The People,Sit Next to Me,4BdGO1CaObRD4La9l5Zanz,75,0.117,0.638,243147,0.738,0.000384,6,0.689,-4.976,0,0.0292,97.021,4,0.657
126,XXXTENTACION,Look At Me!,7floNISpH8VF4z4459Qo18,78,0.259,0.763,126346,0.726,0.0,1,0.0976,-6.405,1,0.282,139.059,4,0.349
127,XXXTENTACION,Carry On,2yZax79pOrYuyIFVW2cZY2,77,0.768,0.735,129720,0.197,0.000276,3,0.296,-13.378,0,0.537,147.899,4,0.383
128,Shawn Mendes,Mercy,0AS63m1wHv9n4VVRizK6Hc,82,0.125,0.555,208733,0.662,0.0,11,0.111,-4.952,0,0.0827,148.128,4,0.356
129,Brett Young,In Case You Didn't Know,1DA7FEKgQeyRPtU44L5DOf,73,0.386,0.607,226200,0.536,0.0,10,0.102,-7.306,1,0.0305,147.986,4,0.434
130,Russell Dickerson,Blue Tacoma,2oPCR02nduYVpj7CTfsA0d,73,0.0183,0.455,212067,0.897,0.0,9,0.174,-4.879,1,0.0403,160.139,4,0.728
131,PnB Rock,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)",5de7ci7TFqbQ1PFgKAD7MR,71,0.0517,0.703,249240,0.661,0.0,6,0.34,-3.885,1,0.0539,149.906,4,0.495
132,"Tyler, The Creator",Boredom (feat. Rex Orange County & Anna of the North),5WNYg3usc6H8N3MBEp4zVk,75,0.79,0.559,320720,0.578,0.000522,8,0.324,-9.54,1,0.151,79.938,4,0.239
133,SZA,Broken Clocks,2fXwCWkh6YG5zU1IyvQrbs,73,0.13,0.684,231253,0.683,0.0,6,0.156,-7.366,1,0.177,112.856,4,0.406
134,Pinkfong,Baby Shark,5ygDXis42ncn6kYG14lEVG,78,0.245,0.825,96333,0.84,0.0,7,0.341,-3.651,1,0.227,115.062,4,0.52
135,Drake,Fake Love,343YBumqHu19cGoGARUTsd,77,0.105,0.928,210937,0.481,0.0,9,0.176,-9.35,0,0.287,134.007,4,0.613
136,NAV,Myself,05nbZ1xxVNwUTcGwLbp7CN,73,0.648,0.749,226040,0.398,1.26e-06,5,0.115,-7.44,0,0.171,80.032,4,0.0859
137,Zedd,Stay,6uBhi9gBXWjanegOb2Phh0,80,0.253,0.69,210091,0.622,0.0,5,0.116,-5.025,0,0.0622,102.04,4,0.544
138,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,78,0.15,0.703,193613,0.868,0.132,7,0.104,-4.661,0,0.0291,121.03,4,0.733
139,Julia Michaels,Issues,7vu0JkJh0ldukEYbTVcqd0,72,0.401,0.728,176320,0.415,0.0,8,0.0616,-6.852,1,0.0639,114.145,4,0.455
140,G-Eazy,Him & I (with Halsey),5k38wzpLb15YgncyWdTZE4,78,0.0534,0.589,268867,0.731,0.0,2,0.308,-6.343,1,0.0868,87.908,4,0.191
141,Jeremy Zucker,talk is overrated,7cflqPPi3zWfLFRRBTWeh6,75,0.435,0.776,189800,0.353,0.0,4,0.302,-8.317,0,0.0687,138.035,4,0.658
142,Lil Peep,Beamer Boy,7hf89cT5FEmLV5E9fjrjG7,76,0.0509,0.743,203373,0.732,1.77e-05,8,0.227,-4.511,1,0.104,123.994,4,0.339
143,Gwen Stefani,You Make It Feel Like Christmas (feat. Blake Shelton),2OQ6a4CfUeYskpTTgyawyJ,77,0.0156,0.635,156773,0.87,0.0,2,0.118,-4.291,0,0.04,93.0,4,0.912
144,Kehlani,Honey,5QTdOvIF2ehBMZpSIIGzIo,75,0.772,0.606,199210,0.24,0.0,3,0.0819,-7.102,1,0.0369,96.792,4,0.526
145,Jhené Aiko,While We're Young,4mL59LVbKgOpEACxraGYdr,73,0.107,0.454,236160,0.791,2.1e-06,2,0.108,-6.013,1,0.335,127.638,4,0.791
146,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",1jYiIOC5d6soxkJP81fxq2,70,0.0533,0.599,288877,0.667,0.0,7,0.134,-4.267,1,0.0367,80.984,4,0.817
147,Russell Dickerson,Yours,6RSNKGdv3nDTHqgw4bdzyF,72,0.119,0.555,216960,0.722,0.0,11,0.0861,-6.005,1,0.034,134.058,4,0.559
148,Bruno Major,Easily,2k9N4caeCIJLOWwWwssrEM,75,0.491,0.772,210240,0.256,0.00612,7,0.144,-8.545,0,0.0481,118.902,3,0.357
149,Drake,Teenage Fever,6n3HGiq4v35D6eFOSwqYuo,74,0.111,0.766,219692,0.283,0.0172,8,0.115,-10.33,0,0.0846,97.04,4,0.144
150,Lil Uzi Vert,Dark Queen,2ZdCrBA52bb4pIG3tOOZiQ,72,0.222,0.747,173419,0.606,0.0,4,0.281,-5.286,1,0.172,155.055,4,0.2
151,Harry Styles,Sweet Creature,5kRPPEWFJIMox5qIkQkiz5,77,0.746,0.427,224867,0.262,0.0,7,0.068,-8.541,1,0.0276,104.085,4,0.228
152,Miguel,Come Through and Chill (feat. J. Cole & Salaam Remi),1m8WpLYXEiNVZchsWEcCSy,73,0.158,0.461,322000,0.653,0.0,6,0.197,-8.617,1,0.327,81.628,1,0.588
